,cong_position,Retweets,Likes,Incivility,posemo,negemo,anx,anger,sad,is_policy,CAP_Policy,weighted_pol,cat,year,group_status
196,R,0,0,0.20905471,4.55,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
197,R,0,0,0.09321214,0.0,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
198,R,0,0,0.19753297,0.0,5.56,5.56,0.0,0.0,0,P0,,,2008,NA
199,R,0,0,0.106940396,10.71,3.57,0.0,0.0,3.57,1,P8,,,2008,NA
200,R,0,0,0.31867298,0.0,5.56,0.0,0.0,0.0,1,P1,,Republican Out-Group,2008,OutGroup
201,R,0,0,0.060486704,4.35,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
202,R,0,0,0.2335688,8.0,4.0,0.0,4.0,0.0,1,P19,,,2008,NA
203,R,0,0,0.14206482,0.0,20.0,0.0,10.0,0.0,0,P0,,,2008,NA
204,R,0,0,0.09325547,10.0,0.0,0.0,0.0,0.0,1,P8,,Republican In-Group,2008,InGroup
205,R,0,0,0.14840487,9.52,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
206,R,0,0,0.06845444,0.0,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
207,R,0,0,0.07582366,9.09,4.55,4.55,0.0,0.0,1,P8,,,2008,NA
208,R,0,0,0.3731125,4.35,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
209,R,0,0,0.04150717,0.0,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
210,R,0,0,0.112810776,0.0,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
211,R,0,0,0.1181505,4.0,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
212,R,0,0,0.117812105,0.0,4.55,0.0,0.0,0.0,1,P8,,,2008,NA
213,R,0,0,0.059544962,14.29,4.76,0.0,0.0,0.0,1,P10,,,2008,NA
214,R,0,0,0.07476091,4.35,0.0,0.0,0.0,0.0,0,P8,,,2008,NA
215,R,0,0,0.03441172,8.7,0.0,0.0,0.0,0.0,1,P10,,,2008,NA
216,R,0,0,0.051370367,12.5,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
217,R,0,0,0.19995636,9.52,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
218,R,0,0,0.08941168,10.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
219,R,0,0,0.0813297,0.0,0.0,0.0,0.0,0.0,0,P9,,,2008,NA
220,R,0,0,0.09586527,4.55,0.0,0.0,0.0,0.0,1,P19,,,2008,NA
221,R,0,0,0.06957281,3.85,0.0,0.0,0.0,0.0,1,P14,,,2008,NA
222,R,0,0,0.12444829,8.0,4.0,0.0,0.0,0.0,1,P10,,,2008,NA
223,R,0,0,0.04434841,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
224,R,0,0,0.06471772,8.0,0.0,0.0,0.0,0.0,0,P7,,,2008,NA
225,R,0,0,0.1259789,10.34,0.0,0.0,0.0,0.0,1,P1,,,2008,NA
226,R,0,0,0.11056182,3.7,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
227,R,0,1,0.27842546,8.0,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
228,R,0,0,0.27909157,0.0,8.7,4.35,0.0,0.0,1,P18,,,2008,NA
229,R,0,0,0.086773686,4.17,4.17,4.17,0.0,0.0,0,P9,,Republican In-Group,2008,InGroup
230,R,0,0,0.19916867,0.0,25.0,0.0,0.0,25.0,0,P0,,,2008,NA
231,R,0,2,0.1918828,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
232,R,0,0,0.07110113,20.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
233,R,0,2,0.046646655,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
234,R,0,2,0.23864886,0.0,0.0,0.0,0.0,0.0,0,P19,,Republican Out-Group,2008,OutGroup
235,R,0,2,0.21425527,0.0,0.0,0.0,0.0,0.0,1,P8,,Republican Out-Group,2008,OutGroup
236,R,0,1,0.33746964,0.0,0.0,0.0,0.0,0.0,0,P14,,Republican Out-Group,2008,OutGroup
237,R,0,2,0.16484745,4.35,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
238,R,0,3,0.22681439,0.0,0.0,0.0,0.0,0.0,1,P8,,Republican Out-Group,2008,OutGroup
239,R,0,0,0.11876226,4.55,4.55,0.0,0.0,4.55,1,P8,,,2008,NA
240,R,0,3,0.16035604,6.25,0.0,0.0,0.0,0.0,0,P0,,Republican Out-Group,2008,OutGroup
241,R,0,2,0.32127345,0.0,7.14,0.0,7.14,0.0,0,P8,,,2008,NA
242,R,0,2,0.1641556,0.0,0.0,0.0,0.0,0.0,0,P19,,Republican Out-Group,2008,OutGroup
243,R,0,3,0.23168704,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
244,R,1,4,0.0727545,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
245,R,0,2,0.19151758,3.85,0.0,0.0,0.0,0.0,1,P8,,Republican Out-Group,2008,OutGroup
246,R,0,1,0.09092779,4.35,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
247,R,0,2,0.34849545,0.0,0.0,0.0,0.0,0.0,1,P8,,Republican In-Group,2008,InGroup
248,R,0,2,0.12103079,0.0,0.0,0.0,0.0,0.0,0,P0,,Republican Out-Group,2008,OutGroup
249,R,0,1,0.047204696,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
250,R,0,2,0.20721991,0.0,4.55,0.0,4.55,0.0,0,P19,,Republican Out-Group,2008,OutGroup
251,R,0,2,0.20907739,0.0,3.85,0.0,0.0,3.85,1,P8,,Republican In-Group,2008,InGroup
252,R,0,3,0.20907739,0.0,3.85,0.0,0.0,3.85,1,P8,,Republican In-Group,2008,InGroup
