,rt_userid,cong_original_ID,overall,max_pol,weighted_pol,weighted_pol_binary,pol_count,congressperson,Incivility,cong_position,is_policy,CAP_Policy,cat
62,192871,29535723173,0.0,-1.0,-0.849462365591398,-0.7741935483870968,93.0,russfeingold,0.123761915,D,0,0,
63,576076,29535723173,0.08,-1.0,-0.7272727272727273,-0.7272727272727273,11.0,russfeingold,0.123761915,D,0,0,
64,330982,29535723173,0.03,-2.0,-1.1,-0.7000000000000001,10.0,russfeingold,0.123761915,D,0,0,
65,206771,29535723173,0.02,-1.0,-0.7500000000000001,-0.6666666666666666,36.0,russfeingold,0.123761915,D,0,0,
66,1036039,29535723173,0.01,-2.0,-0.7,-0.5,10.0,russfeingold,0.123761915,D,0,0,
67,334031,29535723173,0.06,-1.0,-0.9148936170212765,-0.8457446808510638,188.0,russfeingold,0.123761915,D,0,0,
68,1191617,29535723173,0.14,-1.0,-1.1333333333333333,-0.8166666666666667,60.0,russfeingold,0.123761915,D,0,0,
69,432210,29535723173,0.06,-2.0,-1.5,-1.0,2.0,russfeingold,0.123761915,D,0,0,
70,533378,29535723173,0.78,-1.0,-1.1081081081081081,-0.7837837837837838,74.0,russfeingold,0.123761915,D,0,0,
71,839259,29535723173,0.1,-1.0,-1.2941176470588236,-0.9411764705882353,17.0,russfeingold,0.123761915,D,0,0,
72,334724,29535723173,0.28,-1.0,-1.0,-1.0,4.0,russfeingold,0.123761915,D,0,0,
73,397980,29535723173,0.08,-1.0,-1.0999999999999999,-0.82,100.0,russfeingold,0.123761915,D,0,0,
74,286113,29535723173,0.1,-1.0,-0.9166666666666666,-0.9166666666666666,12.0,russfeingold,0.123761915,D,0,0,
75,226824,29535723173,0.05,-1.0,-0.9558823529411764,-0.8088235294117647,68.0,russfeingold,0.123761915,D,0,0,
76,986849,29535723173,0.12,,,,,russfeingold,0.123761915,D,0,0,
77,361865,29535723173,0.03,-1.0,-1.4545454545454546,-1.0,11.0,russfeingold,0.123761915,D,0,0,
78,1182113,29535723173,0.03,-1.0,-0.4285714285714286,-0.4285714285714286,28.0,russfeingold,0.123761915,D,0,0,
79,454922,29535723173,0.03,-1.0,-0.6421052631578948,-0.5789473684210527,95.0,russfeingold,0.123761915,D,0,0,
80,1293433,29535723173,0.23,-2.0,-1.5,-1.0,2.0,russfeingold,0.123761915,D,0,0,
81,244711,29535723173,0.83,-2.0,-1.0000000000000002,-0.6000000000000001,5.0,russfeingold,0.123761915,D,0,0,
